Algo,n,Case,Time,Comparisons
Bubble,1000,Best,1.3599999999999999,999.0
Bubble,1000,Random,1594.8799999999999,497444.0
Bubble,1000,Worst,1261.0800006000002,499500.0
Bubble,2000,Best,1.9999997999999999,1999.0
Bubble,2000,Random,4058.8800002000003,1995192.4
Bubble,2000,Worst,4148.8999998,1999000.0
Bubble,3000,Best,3.0199996,2999.0
Bubble,3000,Random,8726.779999800001,4496980.2
Bubble,3000,Worst,9558.22,4498500.0
Bubble,4000,Best,4.1000002,3999.0
Bubble,4000,Random,17246.82,7993329.8
Bubble,4000,Worst,17039.6999998,7998000.0
Bubble,5000,Best,4.84,4999.0
Bubble,5000,Random,24011.920000000002,12488694.6
Bubble,5000,Worst,26766.76,12497500.0
Bubble,6000,Best,6.0399998,5999.0
Bubble,6000,Random,35763.259999999995,17989171.4
Bubble,6000,Worst,38134.9799998,17997000.0
Bubble,7000,Best,7.2000002,6999.0
Bubble,7000,Random,47284.039999399996,24486204.8
Bubble,7000,Worst,51604.42,24496500.0
Bubble,8000,Best,7.9799998,7999.0
Bubble,8000,Random,61260.9399998,31991020.2
Bubble,8000,Worst,68389.06,31996000.0
Bubble,10000,Best,9.7199998,9999.0
Bubble,10000,Random,97591.66,49987309.8
Bubble,10000,Worst,108453.4000002,49995000.0
Heap,1000,Best,94.26000020000001,17583.0
Heap,1000,Random,111.8199998,16869.8
Heap,1000,Worst,73.14,15965.0
Heap,2000,Best,151.11999999999998,39159.0
Heap,2000,Random,171.95999999999998,37703.2
Heap,2000,Worst,134.5800004,35964.0
Heap,3000,Best,237.11999980000002,62875.0
Heap,3000,Random,272.44000020000004,60191.2
Heap,3000,Worst,215.9200002,57537.0
Heap,4000,Best,318.8399998,86576.0
Heap,4000,Random,370.2199998,83447.2
Heap,4000,Worst,305.4399998,80151.0
Heap,5000,Best,414.9600002,112126.0
Heap,5000,Random,501.6599998,107635.4
Heap,5000,Worst,403.7,103227.0
Heap,6000,Best,563.8399999999999,137876.0
Heap,6000,Random,589.4599998,132483.0
Heap,6000,Worst,463.55999979999996,126920.0
Heap,7000,Best,642.64,163651.0
Heap,7000,Random,730.1,157446.0
Heap,7000,Worst,580.0,151408.0
Heap,8000,Best,660.38,189377.0
