Algorithm,n,InputType,AvgTimeMicroseconds,AvgComparisons
Insertion,1000,Random,400,249930.8
Selection,1000,Random,1400,499500
Bubble,1000,Random,1600,499500
Merge,1000,Random,200,8713.4
Quick_First,1000,Random,200,15770
Quick_Random,1000,Random,0,15261.4
Quick_Median,1000,Random,200,14071
Heap,1000,Random,0,16850.6
Radix,1000,Random,0,0
Insertion,1000,Sorted,0,999
Selection,1000,Sorted,1400,499500
Bubble,1000,Sorted,1000,499500
Merge,1000,Sorted,200,5044
Quick_First,1000,Sorted,1400,500499
Quick_Random,1000,Sorted,0,11718.2
Quick_Median,1000,Sorted,0,8986
Heap,1000,Sorted,0,17583
Radix,1000,Sorted,0,0
Insertion,1000,Reverse,1400,499500
Selection,1000,Reverse,1400,499500
Bubble,1000,Reverse,1400,499500
Merge,1000,Reverse,0,4932
Quick_First,1000,Reverse,800,500499
Quick_Random,1000,Reverse,200,13072.6
Quick_Median,1000,Reverse,400,127746
Heap,1000,Reverse,0,15965
Radix,1000,Reverse,0,0
Insertion,2000,Random,2000,997821.4
Selection,2000,Random,2800,1999000
Bubble,2000,Random,4000,1999000
Merge,2000,Random,200,19396
Quick_First,2000,Random,200,33589.8
Quick_Random,2000,Random,200,33947.2
Quick_Median,2000,Random,200,31400
Heap,2000,Random,200,37705.8
Radix,2000,Random,0,0
Insertion,2000,Sorted,0,1999
Selection,2000,Sorted,3000,1999000
Bubble,2000,Sorted,3000,1999000
Merge,2000,Sorted,200,11088
Quick_First,2000,Sorted,3000,2000999
Quick_Random,2000,Sorted,200,26709.2
Quick_Median,2000,Sorted,0,19963
Heap,2000,Sorted,0,39159
Radix,2000,Sorted,0,0
Insertion,2000,Reverse,3600,1999000
Selection,2000,Reverse,3000,1999000
Bubble,2000,Reverse,3800,1999000
Merge,2000,Reverse,0,10864
Quick_First,2000,Reverse,3000,2000999
Quick_Random,2000,Reverse,0,28370
Quick_Median,2000,Reverse,1000,505496
Heap,2000,Reverse,0,35964
Radix,2000,Reverse,0,0
Insertion,3000,Random,4200,2270556.4
Selection,3000,Random,7800,4498500
Bubble,3000,Random,8800,4498500
Merge,3000,Random,0,30940
Quick_First,3000,Random,0,55719.6
Quick_Random,3000,Random,200,55224.4
Quick_Median,3000,Random,600,50460.2
Heap,3000,Random,200,60231
Radix,3000,Random,0,0
Insertion,3000,Sorted,0,2999
Selection,3000,Sorted,7000,4498500
Bubble,3000,Sorted,7000,4498500
Merge,3000,Sorted,0,18076
Quick_First,3000,Sorted,7200,4501499
Quick_Random,3000,Sorted,0,42213.2
Quick_Median,3000,Sorted,0,31916
Heap,3000,Sorted,600,62875
Radix,3000,Sorted,0,0
Insertion,3000,Reverse,7400,4498500
Selection,3000,Reverse,6800,4498500
Bubble,3000,Reverse,9000,4498500
Merge,3000,Reverse,0,16828
Quick_First,3000,Reverse,6800,4501499
Quick_Random,3000,Reverse,0,43629.6
Quick_Median,3000,Reverse,2000,1133246
Heap,3000,Reverse,0,57537
Radix,3000,Reverse,200,0
Insertion,4000,Random,6800,4006020
Selection,4000,Random,11600,7998000
Bubble,4000,Random,15000,7998000
Merge,4000,Random,400,42816.4
Quick_First,4000,Random,400,77928
Quick_Random,4000,Random,200,76374.2
Quick_Median,4000,Random,200,70808
Heap,4000,Random,200,83467.8
Radix,4000,Random,600,0
Insertion,4000,Sorted,0,3999
Selection,4000,Sorted,12000,7998000
Bubble,4000,Sorted,12600,7998000
Merge,4000,Sorted,200,24176
Quick_First,4000,Sorted,12600,8001999
Quick_Random,4000,Sorted,200,58774
Quick_Median,4000,Sorted,0,43916
Heap,4000,Sorted,200,86576
Radix,4000,Sorted,200,0
Insertion,4000,Reverse,13400,7998000
Selection,4000,Reverse,12000,7998000
Bubble,4000,Reverse,15200,7998000
Merge,4000,Reverse,400,23728
Quick_First,4000,Reverse,11600,8001999
Quick_Random,4000,Reverse,200,61698
Quick_Median,4000,Reverse,3200,2010996
Heap,4000,Reverse,800,80151
Radix,4000,Reverse,0,0
Insertion,5000,Random,10600,6184093.2
Selection,5000,Random,19200,12497500
Bubble,5000,Random,23000,12497500
Merge,5000,Random,1000,55219.6
