Algo,n,Case,Time,Comparisons
Insertion,1000,Random,288.600000,244654
Selection,1000,Random,566.599999,499500
Bubble,1000,Random,1068.100000,497847
Merge,1000,Random,126.500000,8704
Heap,1000,Random,80.600000,16847
Radix,1000,Random,37.300000,0
Quick_First,1000,Random,56.200000,10921
Quick_Random,1000,Random,61.500000,10736
Quick_Median,1000,Random,60.400001,8785
Insertion,1000,Best,1.600000,999
Selection,1000,Best,440.000000,499500
Bubble,1000,Best,1.000000,999
Merge,1000,Best,77.000000,5044
Heap,1000,Best,68.000000,17583
Radix,1000,Best,29.500000,0
Quick_First,1000,Best,335.799999,499500
Quick_Random,1000,Best,34.300000,10814
Quick_Median,1000,Best,15.200000,7987
Insertion,1000,Worst,806.599999,500499
Selection,1000,Worst,475.600000,499500
Bubble,1000,Worst,1079.500000,499500
Merge,1000,Worst,78.700001,4932
Heap,1000,Worst,68.200001,15965
Radix,1000,Worst,29.300000,0
Quick_First,1000,Worst,352.400001,499500
Quick_Random,1000,Worst,31.200000,10982
Quick_Median,1000,Worst,121.700000,125749
Insertion,2000,Random,1288.500000,1005484
Selection,2000,Random,1833.400000,1999000
Bubble,2000,Random,4107.700000,1992330
Merge,2000,Random,283.700000,19390
Heap,2000,Random,175.200000,37662
Radix,2000,Random,77.500000,0
Quick_First,2000,Random,120.900000,23395
Quick_Random,2000,Random,130.900000,23674
Quick_Median,2000,Random,122.000000,21163
Insertion,2000,Best,3.000000,1999
Selection,2000,Best,1628.099999,1999000
Bubble,2000,Best,2.000000,1999
Merge,2000,Best,172.400000,11088
Heap,2000,Best,136.500000,39159
Radix,2000,Best,59.000000,0
Quick_First,2000,Best,1173.000000,1999000
Quick_Random,2000,Best,67.400000,23914
Quick_Median,2000,Best,24.200000,17964
Insertion,2000,Worst,2209.099999,2000999
Selection,2000,Worst,1755.000000,1999000
Bubble,2000,Worst,3953.000000,1999000
Merge,2000,Worst,156.000000,10864
Heap,2000,Worst,122.200000,35964
Radix,2000,Worst,68.700001,0
Quick_First,2000,Worst,1240.800000,1999000
Quick_Random,2000,Worst,68.200000,23948
Quick_Median,2000,Worst,535.700000,501499
Insertion,3000,Random,2673.099999,2279679
Selection,3000,Random,3881.100000,4498500
Bubble,3000,Random,8928.000000,4496420
Merge,3000,Random,403.299999,30901
Heap,3000,Random,282.700000,60199
Radix,3000,Random,119.599999,0
Quick_First,3000,Random,181.100000,37461
Quick_Random,3000,Random,210.500000,39731
Quick_Median,3000,Random,202.800000,33046
Insertion,3000,Best,4.500000,2999
Selection,3000,Best,3720.300000,4498500
Bubble,3000,Best,3.000000,2999
Merge,3000,Best,257.300000,18076
Heap,3000,Best,225.200000,62875
Radix,3000,Best,91.800000,0
Quick_First,3000,Best,3124.500000,4498500
Quick_Random,3000,Best,109.500000,40958
Quick_Median,3000,Best,37.200000,28917
Insertion,3000,Worst,5258.500000,4501499
Selection,3000,Worst,4020.099999,4498500
Bubble,3000,Worst,9780.700000,4498500
Merge,3000,Worst,280.299999,16828
Heap,3000,Worst,234.799999,57537
Radix,3000,Worst,101.300000,0
Quick_First,3000,Worst,3093.100000,4498500
Quick_Random,3000,Worst,105.099999,40075
Quick_Median,3000,Worst,809.599999,1127249
Insertion,4000,Random,4854.000000,4031359
Selection,4000,Random,7182.900000,7998000
Bubble,4000,Random,15130.900000,7997790
Merge,4000,Random,528.799999,42835
Heap,4000,Random,368.400000,83419
Radix,4000,Random,146.600000,0
Quick_First,4000,Random,241.600000,50719
Quick_Random,4000,Random,268.000000,53290
Quick_Median,4000,Random,260.299999,45918
Insertion,4000,Best,5.600000,3999
Selection,4000,Best,6921.599999,7998000
Bubble,4000,Best,4.200000,3999
Merge,4000,Best,351.099999,24176
Heap,4000,Best,306.600000,86576
Radix,4000,Best,134.400000,0
Quick_First,4000,Best,5507.200001,7998000
Quick_Random,4000,Best,129.000000,53981
Quick_Median,4000,Best,50.900000,39917
Insertion,4000,Worst,9573.100000,8001999
Selection,4000,Worst,7302.700000,7998000
Bubble,4000,Worst,17435.700000,7998000
Merge,4000,Worst,363.300000,23728
Heap,4000,Worst,319.500000,80151
Radix,4000,Worst,130.300000,0
Quick_First,4000,Worst,5733.700000,7998000
Quick_Random,4000,Worst,141.800000,54827
Quick_Median,4000,Worst,1441.500000,2002999
Insertion,5000,Random,7709.700000,6283569
Selection,5000,Random,11221.200001,12497500
Bubble,5000,Random,24444.500000,12482100
Merge,5000,Random,686.800000,55211
Heap,5000,Random,491.300000,107676
Radix,5000,Random,189.400000,0
Quick_First,5000,Random,330.000000,75293
Quick_Random,5000,Random,319.000000,66855
Quick_Median,5000,Random,300.400000,63032
Insertion,5000,Best,7.100000,4999
Selection,5000,Best,9999.200001,12497500
Bubble,5000,Best,4.900000,4999
Merge,5000,Best,405.099999,32004
Heap,5000,Best,386.800000,112126
Radix,5000,Best,141.700000,0
Quick_First,5000,Best,7680.200000,12497500
Quick_Random,5000,Best,180.900000,69243
Quick_Median,5000,Best,76.799999,51822
Insertion,5000,Worst,14445.700000,12502499
Selection,5000,Worst,11319.200000,12497500
Bubble,5000,Worst,27117.300000,12497500
Merge,5000,Worst,435.300000,29804
Heap,5000,Worst,401.300000,103227
Radix,5000,Worst,171.700001,0
Quick_First,5000,Worst,8331.099999,12497500
Quick_Random,5000,Worst,184.099999,71425
Quick_Median,5000,Worst,2385.700001,3128749
Insertion,6000,Random,10981.099999,9064621
Selection,6000,Random,15166.800000,17997000
Bubble,6000,Random,35725.500000,17993514
Merge,6000,Random,935.000000,67815
Heap,6000,Random,590.800000,132392
Radix,6000,Random,230.099999,0
Quick_First,6000,Random,368.900000,88669
Quick_Random,6000,Random,427.000000,82054
Quick_Median,6000,Random,410.100000,73551
Insertion,6000,Best,8.900001,5999
Selection,6000,Best,14338.800000,17997000
Bubble,6000,Best,5.900000,5999
Merge,6000,Best,496.000000,39152
Heap,6000,Best,490.000000,137876
Radix,6000,Best,172.700000,0
Quick_First,6000,Best,11247.200000,17997000
Quick_Random,6000,Best,192.000000,90682
Quick_Median,6000,Best,115.300000,63822
Insertion,6000,Worst,21412.200001,18002999
Selection,6000,Worst,16330.700000,17997000
Bubble,6000,Worst,38296.800000,17997000
Merge,6000,Worst,470.200000,36656
Heap,6000,Worst,449.099999,126920
Radix,6000,Worst,160.900001,0
Quick_First,6000,Worst,12233.700000,17997000
Quick_Random,6000,Worst,180.000000,84431
Quick_Median,6000,Worst,2715.800000,4504499
Insertion,7000,Random,14074.200000,12259826
Selection,7000,Random,21346.700000,24496500
Bubble,7000,Random,46980.000000,24491247
Merge,7000,Random,999.500000,80575
Heap,7000,Random,726.300000,157465
Radix,7000,Random,265.700000,0
Quick_First,7000,Random,452.100000,105230
Quick_Random,7000,Random,493.400000,105894
Quick_Median,7000,Random,495.700001,88490
Insertion,7000,Best,10.300000,6999
Selection,7000,Best,20516.599999,24496500
Bubble,7000,Best,6.700001,6999
Merge,7000,Best,613.000000,46180
Heap,7000,Best,585.100000,163651
Radix,7000,Best,212.700001,0
Quick_First,7000,Best,16451.700000,24496500
Quick_Random,7000,Best,245.400000,101946
Quick_Median,7000,Best,104.500000,75822
Insertion,7000,Worst,29952.700001,24503499
Selection,7000,Worst,22396.599999,24496500
Bubble,7000,Worst,53093.000000,24496500
Merge,7000,Worst,640.500000,43628
Heap,7000,Worst,590.600000,151408
Radix,7000,Worst,224.800000,0
Quick_First,7000,Worst,17075.099999,24496500
Quick_Random,7000,Worst,252.800000,101637
Quick_Median,7000,Worst,4116.500000,6130249
Insertion,8000,Random,19469.400001,16113602
Selection,8000,Random,27872.900001,31996000
Bubble,8000,Random,63438.000000,31994404
Merge,8000,Random,1160.900000,93656
Heap,8000,Random,857.400000,182881
Radix,8000,Random,319.799999,0
Quick_First,8000,Random,564.700000,120055
Quick_Random,8000,Random,663.800000,135371
Quick_Median,8000,Random,633.599999,106074
Insertion,8000,Best,12.099999,7999
Selection,8000,Best,27629.200000,31996000
Bubble,8000,Best,8.000000,7999
Merge,8000,Best,763.400000,52352
Heap,8000,Best,658.400000,189377
Radix,8000,Best,230.500000,0
Quick_First,8000,Best,21074.900000,31996000
Quick_Random,8000,Best,285.700000,115787
Quick_Median,8000,Best,127.100000,87822
Insertion,8000,Worst,38660.000000,32003999
Selection,8000,Worst,28366.400000,31996000
Bubble,8000,Worst,68542.000000,31996000
Merge,8000,Worst,646.500000,51456
Heap,8000,Worst,632.200000,176057
Radix,8000,Worst,227.700000,0
Quick_First,8000,Worst,21850.599999,31996000
Quick_Random,8000,Worst,429.400000,116235
Quick_Median,8000,Worst,5333.900000,8005999
Insertion,10000,Random,29347.000000,24966896
Selection,10000,Random,42192.900000,49995000
Bubble,10000,Random,99416.300000,49990050
Merge,10000,Random,1363.100000,120516
Heap,10000,Random,1182.599999,235521
Radix,10000,Random,387.700001,0
Quick_First,10000,Random,649.400000,154669
Quick_Random,10000,Random,691.200001,153123
Quick_Median,10000,Random,681.700000,127979
Insertion,10000,Best,14.600000,9999
Selection,10000,Best,43365.400000,49995000
