Algorithm,n,InputType,TimeMicroseconds,Comparisons
Insertion,1000,Random,1000.000000,242215
Selection,1000,Random,0.000000,499500
Bubble,1000,Random,1000.000000,499500
Merge,1000,Random,1000.000000,8747
Quick_First,1000,Random,0.000000,15738
Quick_Random,1000,Random,0.000000,15588
Quick_Median,1000,Random,0.000000,14607
Heap,1000,Random,0.000000,16917
Radix,1000,Random,0.000000,0
Insertion,1000,Sorted,0.000000,999
Selection,1000,Sorted,1000.000000,499500
Bubble,1000,Sorted,0.000000,499500
Merge,1000,Sorted,0.000000,5044
Quick_First,1000,Sorted,1000.000000,500499
Quick_Random,1000,Sorted,0.000000,11697
Quick_Median,1000,Sorted,0.000000,8986
Heap,1000,Sorted,0.000000,17583
Radix,1000,Sorted,0.000000,0
Insertion,1000,Reverse,1000.000000,499500
Selection,1000,Reverse,1000.000000,499500
Bubble,1000,Reverse,1000.000000,499500
Merge,1000,Reverse,0.000000,4932
Quick_First,1000,Reverse,1000.000000,500499
Quick_Random,1000,Reverse,0.000000,12131
Quick_Median,1000,Reverse,0.000000,127746
Heap,1000,Reverse,0.000000,15965
Radix,1000,Reverse,0.000000,0
Insertion,2000,Random,2000.000000,994701
Selection,2000,Random,2000.000000,1999000
Bubble,2000,Random,4000.000000,1999000
Merge,2000,Random,0.000000,19365
Quick_First,2000,Random,0.000000,33818
Quick_Random,2000,Random,1000.000000,33138
Quick_Median,2000,Random,0.000000,33653
Heap,2000,Random,0.000000,37712
Radix,2000,Random,0.000000,0
Insertion,2000,Sorted,0.000000,1999
Selection,2000,Sorted,3000.000000,1999000
Bubble,2000,Sorted,3000.000000,1999000
Merge,2000,Sorted,0.000000,11088
Quick_First,2000,Sorted,3000.000000,2000999
Quick_Random,2000,Sorted,0.000000,27352
Quick_Median,2000,Sorted,0.000000,19963
Heap,2000,Sorted,0.000000,39159
Radix,2000,Sorted,0.000000,0
Insertion,2000,Reverse,4000.000000,1999000
Selection,2000,Reverse,3000.000000,1999000
Bubble,2000,Reverse,4000.000000,1999000
Merge,2000,Reverse,0.000000,10864
Quick_First,2000,Reverse,3000.000000,2000999
Quick_Random,2000,Reverse,0.000000,28114
Quick_Median,2000,Reverse,1000.000000,505496
Heap,2000,Reverse,0.000000,35964
Radix,2000,Reverse,0.000000,0
Insertion,3000,Random,4000.000000,2201490
Selection,3000,Random,6000.000000,4498500
Bubble,3000,Random,9000.000000,4498500
Merge,3000,Random,0.000000,30953
Quick_First,3000,Random,0.000000,59542
Quick_Random,3000,Random,0.000000,54801
Quick_Median,3000,Random,1000.000000,51973
Heap,3000,Random,0.000000,60297
Radix,3000,Random,0.000000,0
Insertion,3000,Sorted,0.000000,2999
Selection,3000,Sorted,7000.000000,4498500
Bubble,3000,Sorted,7000.000000,4498500
Merge,3000,Sorted,0.000000,18076
Quick_First,3000,Sorted,7000.000000,4501499
Quick_Random,3000,Sorted,0.000000,41131
Quick_Median,3000,Sorted,0.000000,31916
Heap,3000,Sorted,1000.000000,62875
Radix,3000,Sorted,0.000000,0
Insertion,3000,Reverse,7000.000000,4498500
Selection,3000,Reverse,7000.000000,4498500
Bubble,3000,Reverse,9000.000000,4498500
Merge,3000,Reverse,0.000000,16828
Quick_First,3000,Reverse,6000.000000,4501499
Quick_Random,3000,Reverse,0.000000,43586
Quick_Median,3000,Reverse,2000.000000,1133246
Heap,3000,Reverse,0.000000,57537
Radix,3000,Reverse,0.000000,0
Insertion,4000,Random,7000.000000,4008580
Selection,4000,Random,11000.000000,7998000
Bubble,4000,Random,15000.000000,7998000
Merge,4000,Random,1000.000000,42794
Quick_First,4000,Random,0.000000,77338
Quick_Random,4000,Random,0.000000,76440
Quick_Median,4000,Random,1000.000000,70848
Heap,4000,Random,0.000000,83511
Radix,4000,Random,0.000000,0
Insertion,4000,Sorted,0.000000,3999
Selection,4000,Sorted,12000.000000,7998000
Bubble,4000,Sorted,13000.000000,7998000
Merge,4000,Sorted,1000.000000,24176
Quick_First,4000,Sorted,11000.000000,8001999
Quick_Random,4000,Sorted,1000.000000,57241
Quick_Median,4000,Sorted,0.000000,43916
Heap,4000,Sorted,0.000000,86576
Radix,4000,Sorted,0.000000,0
Insertion,4000,Reverse,13000.000000,7998000
Selection,4000,Reverse,12000.000000,7998000
Bubble,4000,Reverse,16000.000000,7998000
Merge,4000,Reverse,0.000000,23728
Quick_First,4000,Reverse,11000.000000,8001999
Quick_Random,4000,Reverse,1000.000000,65547
Quick_Median,4000,Reverse,3000.000000,2010996
Heap,4000,Reverse,1000.000000,80151
Radix,4000,Reverse,0.000000,0
Insertion,5000,Random,11000.000000,6192359
Selection,5000,Random,19000.000000,12497500
Bubble,5000,Random,23000.000000,12497500
Merge,5000,Random,1000.000000,55224
Quick_First,5000,Random,0.000000,98571
Quick_Random,5000,Random,1000.000000,97397
Quick_Median,5000,Random,0.000000,90567
Heap,5000,Random,0.000000,107690
Radix,5000,Random,1000.000000,0
Insertion,5000,Sorted,0.000000,4999
Selection,5000,Sorted,19000.000000,12497500
Bubble,5000,Sorted,20000.000000,12497500
Merge,5000,Sorted,0.000000,32004
Quick_First,5000,Sorted,19000.000000,12502499
Quick_Random,5000,Sorted,0.000000,78414
Quick_Median,5000,Sorted,0.000000,56821
Heap,5000,Sorted,1000.000000,112126
Radix,5000,Sorted,0.000000,0
Insertion,5000,Reverse,20000.000000,12497500
Selection,5000,Reverse,19000.000000,12497500
Bubble,5000,Reverse,24000.000000,12497500
Merge,5000,Reverse,1000.000000,29804
Quick_First,5000,Reverse,17000.000000,12502499
Quick_Random,5000,Reverse,0.000000,78406
Quick_Median,5000,Reverse,4000.000000,3138746
Heap,5000,Reverse,1000.000000,103227
Radix,5000,Reverse,0.000000,0
Insertion,6000,Random,15000.000000,9037207
Selection,6000,Random,27000.000000,17997000
Bubble,6000,Random,33000.000000,17997000
Merge,6000,Random,1000.000000,67789
Quick_First,6000,Random,0.000000,120629
Quick_Random,6000,Random,1000.000000,130408
Quick_Median,6000,Random,0.000000,110278
Heap,6000,Random,1000.000000,132493
Radix,6000,Random,0.000000,0
Insertion,6000,Sorted,0.000000,5999
Selection,6000,Sorted,28000.000000,17997000
Bubble,6000,Sorted,28000.000000,17997000
Merge,6000,Sorted,1000.000000,39152
Quick_First,6000,Sorted,27000.000000,18002999
Quick_Random,6000,Sorted,0.000000,91551
Quick_Median,6000,Sorted,0.000000,69821
Heap,6000,Sorted,1000.000000,137876
Radix,6000,Sorted,0.000000,0
Insertion,6000,Reverse,30000.000000,17997000
Selection,6000,Reverse,27000.000000,17997000
Bubble,6000,Reverse,35000.000000,17997000
Merge,6000,Reverse,0.000000,36656
Quick_First,6000,Reverse,27000.000000,18002999
Quick_Random,6000,Reverse,1000.000000,100626
Quick_Median,6000,Reverse,6000.000000,4516496
Heap,6000,Reverse,0.000000,126920
Radix,6000,Reverse,0.000000,0
Insertion,7000,Random,22000.000000,12354755
Selection,7000,Random,37000.000000,24496500
Bubble,7000,Random,45000.000000,24496500
Merge,7000,Random,1000.000000,80647
Quick_First,7000,Random,0.000000,142729
Quick_Random,7000,Random,1000.000000,147173
Quick_Median,7000,Random,0.000000,131706
Heap,7000,Random,1000.000000,157522
Radix,7000,Random,0.000000,0
Insertion,7000,Sorted,0.000000,6999
Selection,7000,Sorted,41000.000000,24496500
Bubble,7000,Sorted,38000.000000,24496500
Merge,7000,Sorted,1000.000000,46180
Quick_First,7000,Sorted,39000.000000,24503499
Quick_Random,7000,Sorted,0.000000,108997
Quick_Median,7000,Sorted,0.000000,82821
Heap,7000,Sorted,1000.000000,163651
Radix,7000,Sorted,0.000000,0
Insertion,7000,Reverse,41000.000000,24496500
Selection,7000,Reverse,38000.000000,24496500
Bubble,7000,Reverse,49000.000000,24496500
Merge,7000,Reverse,0.000000,43628
Quick_First,7000,Reverse,36000.000000,24503499
Quick_Random,7000,Reverse,0.000000,113216
Quick_Median,7000,Reverse,10000.000000,6144246
Heap,7000,Reverse,1000.000000,151408
Radix,7000,Reverse,0.000000,0
Insertion,8000,Random,27000.000000,15967833
Selection,8000,Random,50000.000000,31996000
Bubble,8000,Random,64000.000000,31996000
Merge,8000,Random,1000.000000,93560
Quick_First,8000,Random,0.000000,171861
Quick_Random,8000,Random,1000.000000,172183
Quick_Median,8000,Random,0.000000,152765
Heap,8000,Random,1000.000000,182728
Radix,8000,Random,0.000000,0
Insertion,8000,Sorted,0.000000,7999
Selection,8000,Sorted,54000.000000,31996000
Bubble,8000,Sorted,52000.000000,31996000
Merge,8000,Sorted,0.000000,52352
Quick_First,8000,Sorted,51000.000000,32003999
Quick_Random,8000,Sorted,0.000000,132289
Quick_Median,8000,Sorted,0.000000,95821
Heap,8000,Sorted,1000.000000,189377
Radix,8000,Sorted,0.000000,0
Insertion,8000,Reverse,58000.000000,31996000
Selection,8000,Reverse,51000.000000,31996000
Bubble,8000,Reverse,64000.000000,31996000
Merge,8000,Reverse,1000.000000,51456
Quick_First,8000,Reverse,47000.000000,32003999
Quick_Random,8000,Reverse,0.000000,137182
Quick_Median,8000,Reverse,13000.000000,8021996
Heap,8000,Reverse,0.000000,176057
Radix,8000,Reverse,0.000000,0
Insertion,10000,Random,43000.000000,25104428
Selection,10000,Random,79000.000000,49995000
Bubble,10000,Random,101000.000000,49995000
Merge,10000,Random,2000.000000,120431
Quick_First,10000,Random,0.000000,213465
Quick_Random,10000,Random,1000.000000,217571
Quick_Median,10000,Random,1000.000000,190953
Heap,10000,Random,1000.000000,235296
Radix,10000,Random,0.000000,0
Insertion,10000,Sorted,0.000000,9999
Selection,10000,Sorted,82000.000000,49995000
Bubble,10000,Sorted,78000.000000,49995000
Merge,10000,Sorted,1000.000000,69008
Quick_First,10000,Sorted,78000.000000,50004999
Quick_Random,10000,Sorted,0.000000,158357
Quick_Median,10000,Sorted,0.000000,123630
Heap,10000,Sorted,1000.000000,244460
Radix,10000,Sorted,1000.000000,0
Insertion,10000,Reverse,82000.000000,49995000
Selection,10000,Reverse,76000.000000,49995000
Bubble,10000,Reverse,96000.000000,49995000
Merge,10000,Reverse,1000.000000,64608
Quick_First,10000,Reverse,71000.000000,50004999
Quick_Random,10000,Reverse,0.000000,164342
Quick_Median,10000,Reverse,19000.000000,12527496
Heap,10000,Reverse,1000.000000,226682
Radix,10000,Reverse,0.000000,0
